City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Weather Description
204,lihue,21.9789,-159.3672,25.97,72,20,4.63,US,light rain
205,tazovsky,67.4667,78.7,-18.01,98,91,3.19,RU,overcast clouds
206,saipan,15.1355,145.701,29.39,84,40,8.75,MP,scattered clouds
207,dodola,6.9833,39.1833,7.98,64,5,1.29,ET,clear sky
208,fukuecho,32.6881,128.8419,14.2,58,20,2.06,JP,few clouds
209,topchikha,52.8192,83.1185,-5.36,77,16,6.42,RU,few clouds
210,muroto-misakicho,33.2833,134.15,17.04,59,2,12.32,JP,clear sky
211,jayapura,-2.5333,140.7,29.66,66,89,1.55,ID,overcast clouds
212,tome acu,-2.4189,-48.1522,23.4,95,63,1.13,BR,broken clouds
213,mount isa,-20.7333,139.5,31.87,48,0,3.09,AU,clear sky
214,hirado,33.3597,129.5531,15.77,56,74,9.22,JP,broken clouds
215,qaqortoq,60.7167,-46.0333,-14.33,68,1,4.17,GL,clear sky
216,port alfred,-33.5906,26.891,17.98,89,0,0.77,ZA,clear sky
217,stanley,54.868,-1.6985,4.32,91,40,4.12,GB,scattered clouds
218,undurkhaan,47.3194,110.6556,-21.7,89,60,1.87,MN,broken clouds
219,shimoda,34.6667,138.95,19.2,63,4,11.13,JP,clear sky
220,la sarre,48.8002,-79.1996,-8.86,90,100,5.33,CA,overcast clouds
221,pariaman,-0.619,100.12,26.03,77,88,0.69,ID,overcast clouds
222,rio grande,-32.035,-52.0986,23.06,92,100,7.99,BR,overcast clouds
223,khandyga,62.6667,135.6,-28.72,93,100,0.46,RU,overcast clouds
224,as sulayyil,20.4607,45.5779,20.14,39,7,2.8,SA,clear sky
225,pratt,37.6439,-98.7376,7.34,75,0,3.6,US,clear sky
226,praya,14.9215,-23.5087,24.3,73,20,5.14,CV,few clouds
227,flying fish cove,-10.4217,105.6791,26.82,73,75,5.14,CX,broken clouds
228,al bardiyah,31.7561,25.0865,14.46,60,0,3.15,LY,clear sky
229,campo grande,-20.4428,-54.6464,23.75,83,75,2.06,BR,moderate rain
230,port augusta,-32.5,137.7667,18.47,71,100,7.31,AU,overcast clouds
231,atafu village,-8.5421,-172.5159,29.59,72,100,4.35,TK,light rain
232,antsiranana,-12.2787,49.2917,24.0,80,16,4.63,MG,few clouds
233,island harbour,50.724,-1.2758,6.75,87,96,4.02,GB,overcast clouds
234,lompoc,34.6391,-120.4579,17.4,56,0,3.09,US,clear sky
235,namibe,-15.1961,12.1522,22.88,74,100,4.11,AO,overcast clouds
236,gbarnga,6.9956,-9.4722,22.9,97,95,0.86,LR,light rain
237,malindi,-3.2175,40.1191,25.88,84,100,2.55,KE,light rain
238,lawas,13.764,121.0566,28.32,78,92,4.96,PH,overcast clouds
239,waajid,3.8096,43.2463,25.55,50,91,3.86,SO,overcast clouds
240,saint-philippe,-21.3585,55.7679,22.77,80,6,1.59,RE,clear sky
241,udachny,66.4167,112.4,-27.36,97,12,2.52,RU,few clouds
242,fale old settlement,-9.3852,-171.2468,29.01,77,100,6.64,TK,moderate rain
243,salym,60.0625,71.4789,-3.19,94,100,3.41,RU,overcast clouds
244,puerto santa,-8.9906,-78.6456,19.46,86,100,4.52,PE,overcast clouds
245,constantia,44.1833,28.65,0.39,63,16,5.83,RO,few clouds
246,eldivan,40.5298,33.499,-2.66,64,1,2.13,TR,clear sky
247,haiku-pauwela,20.9219,-156.3051,26.01,71,40,3.09,US,scattered clouds
248,el porvenir,13.7617,-87.3458,24.63,75,11,2.83,HN,few clouds
249,bamboo flat,11.7,92.7167,28.05,78,40,3.6,IN,scattered clouds
250,galle,6.0367,80.217,25.01,88,98,3.24,LK,overcast clouds
251,uturoa,-16.7333,-151.4333,26.34,79,100,8.64,PF,overcast clouds
252,port saint john's,-31.6229,29.5448,19.42,78,6,1.85,ZA,clear sky
253,banbasa,28.9913,80.0761,17.27,56,100,0.78,IN,overcast clouds
254,avarua,-21.2078,-159.775,27.03,65,75,8.23,CK,broken clouds
255,shenkursk,62.1091,42.896,-2.76,90,100,5.1,RU,overcast clouds
256,almenara,-16.1836,-40.6944,21.75,75,15,1.02,BR,light rain
257,koulamoutou,-1.1303,12.4736,21.48,99,100,0.52,GA,light rain
258,masterton,-40.9597,175.6575,14.94,83,100,5.89,NZ,overcast clouds
259,takoradi,4.8845,-1.7554,25.64,85,30,1.5,GH,scattered clouds
260,ourense,42.3333,-7.85,13.77,98,100,0.93,ES,light rain
261,talnakh,69.4865,88.3972,-22.4,96,87,3.65,RU,overcast clouds
262,kantabanji,20.4833,82.9167,16.76,80,2,0.46,IN,clear sky
263,leh,34.1667,77.5833,-1.36,84,99,1.88,IN,light snow
264,morehead,37.2711,-87.1764,1.55,68,0,2.84,US,clear sky
265,hobyo,5.3505,48.5268,26.9,79,100,8.55,SO,overcast clouds
266,visby,57.6409,18.296,-2.88,80,100,6.69,SE,light snow
267,kharabali,47.4196,47.2568,2.99,76,100,4.11,RU,overcast clouds
268,paka,4.6374,103.4368,24.96,94,40,2.06,MY,moderate rain
269,nadi,-17.8,177.4167,31.0,70,40,7.2,FJ,thunderstorm
270,punta alta,-38.8759,-62.0736,28.93,34,100,7.13,AR,overcast clouds
271,mejit,10.2753,170.8646,27.63,74,10,9.06,MH,clear sky
272,itoman,26.1247,127.6694,22.21,56,20,9.26,JP,few clouds
273,tamanrasset,22.785,5.5228,9.95,17,0,2.06,DZ,clear sky
274,gobabis,-22.45,18.9667,26.13,33,90,2.57,NA,overcast clouds
275,wotho,10.1657,166.0102,27.8,79,73,9.49,MH,broken clouds
276,nouadhibou,20.931,-17.0347,19.99,64,91,6.17,MR,overcast clouds
277,katabu,-4.9333,122.5167,30.88,64,99,0.17,ID,overcast clouds
278,freeport,40.6576,-73.5832,7.2,56,75,7.72,US,broken clouds
279,sao tome,0.3365,6.7273,26.56,81,100,2.77,ST,light rain
280,guinguineo,14.2667,-15.95,25.9,50,0,3.09,SN,clear sky
281,suarez,2.954,-76.6964,20.48,95,70,1.51,CO,broken clouds
282,tysmenytsya,48.9022,24.8448,-2.48,64,100,2.81,UA,overcast clouds
283,sao vicente,-23.9631,-46.3919,26.1,26,100,0.66,BR,overcast clouds
284,gombi,10.1614,12.7399,22.95,28,5,2.83,NG,clear sky
285,moab,38.5733,-109.5498,-0.97,74,0,0.96,US,clear sky
286,virginia beach,36.8529,-75.978,10.01,78,0,0.0,US,clear sky
287,knyaze-volkonskoye,48.4642,135.4567,-14.81,84,100,1.71,RU,overcast clouds
288,port lincoln,-34.7333,135.8667,15.46,71,88,9.39,AU,light rain
289,quellon,-43.1167,-73.6167,9.45,90,90,4.12,CL,light rain
290,hilo,19.7297,-155.09,25.85,77,100,4.63,US,overcast clouds
291,shalqar,47.8333,59.6,7.91,60,100,6.85,KZ,overcast clouds
292,mokhsogollokh,61.4681,128.9203,-28.64,99,45,1.53,RU,scattered clouds
293,trincomalee,8.5711,81.2335,27.24,80,95,4.97,LK,overcast clouds
294,seferihisar,38.1969,26.839,10.47,73,43,3.5,TR,scattered clouds
295,gadzhiyevo,69.2551,33.3362,-11.55,98,82,0.72,RU,broken clouds
296,kuta,-8.7233,115.1723,28.97,74,40,2.24,ID,scattered clouds
297,ciudad constitucion,25.0369,-111.6644,23.63,56,1,5.38,MX,clear sky
298,igarka,67.4667,86.5833,-19.68,97,98,5.14,RU,overcast clouds
299,abadan,30.3392,48.3043,16.97,72,0,1.03,IR,clear sky
300,zapolyarnyy,69.4154,30.8136,-15.4,96,72,3.06,RU,broken clouds
301,pampa del indio,-26.0647,-59.919,22.13,98,100,2.41,AR,overcast clouds
302,zaozersk,69.4005,32.4476,-7.68,92,92,1.41,RU,overcast clouds
303,lamia,38.9,22.4333,10.06,80,100,1.31,GR,overcast clouds
304,carnarvon,-24.8667,113.6333,21.76,64,100,6.34,AU,overcast clouds
305,magadan,59.5667,150.8,-10.26,70,100,3.06,RU,overcast clouds
306,reggane,26.7158,0.1714,16.46,29,0,3.5,DZ,clear sky
307,new norfolk,-42.7826,147.0587,13.84,62,100,1.76,AU,overcast clouds
308,ryotsu-minato,38.0833,138.4333,13.44,69,88,11.73,JP,overcast clouds
309,vernon,50.2581,-119.2691,4.34,70,59,0.0,CA,broken clouds
310,carloforte,39.145,8.3058,16.11,84,100,9.72,IT,overcast clouds
311,rabo de peixe,37.8,-25.5833,16.73,99,40,1.03,PT,scattered clouds
312,baijiantan,45.6333,85.1833,0.83,77,7,1.62,CN,clear sky
313,araioses,-2.89,-41.9031,26.66,81,100,4.89,BR,overcast clouds
314,chipinge,-20.1883,32.6236,17.23,71,82,1.67,ZW,broken clouds
315,san patricio,28.017,-97.5169,13.24,44,100,2.37,US,overcast clouds
316,saynshand,44.8824,110.1163,-17.2,76,3,3.43,MN,clear sky
317,crane,31.3974,-102.3501,8.96,41,100,4.49,US,overcast clouds
318,viedma,-40.8135,-62.9967,16.44,80,100,9.89,AR,light rain
319,empalme,27.9667,-110.8167,24.64,55,12,1.59,MX,few clouds
320,yallahs,17.8748,-76.5624,29.85,82,8,3.53,JM,clear sky
321,bel ombre,-4.6167,55.4167,25.91,83,20,1.03,SC,few clouds
322,isiolo,0.3546,37.5822,20.0,74,90,1.28,KE,overcast clouds
323,waingapu,-9.6567,120.2641,29.45,65,76,0.69,ID,broken clouds
324,kongwa,-6.2,36.4167,20.02,86,57,1.4,TZ,broken clouds
325,box elder,41.5005,-112.8764,-0.97,79,6,0.37,US,clear sky
326,witu,-2.3889,40.4382,23.09,87,100,1.19,KE,light rain
327,callao,-12.0667,-77.15,23.73,73,0,7.2,PE,clear sky
328,saldanha,-33.0117,17.9442,19.03,96,13,5.94,ZA,few clouds
329,wakkanai,45.4094,141.6739,1.99,92,75,8.23,JP,light shower sleet
330,millau,44.0833,2.9167,9.07,91,100,7.22,FR,light rain
331,yaren,-0.5472,166.916,28.82,72,100,1.29,NR,overcast clouds
332,mont-laurier,46.5501,-75.4993,0.79,83,12,3.57,CA,few clouds
333,vilyuysk,63.7553,121.6247,-15.0,90,100,4.02,RU,overcast clouds
